,0
0,-6366.035819912795
1,8441.209856238915
2,4381.827893509064
3,6324.43792786682
4,-7254.598549287301
5,-9106.357940169983
6,-10862.60200870107
7,438.8516433860641
8,29734.89415926789
9,5240.892541119596
10,-39706.309657366015
11,-8594.276158434106
12,-27308.859120764304
13,-22009.234934666194
14,39298.52606691909
15,-10015.12670464674
16,32819.920986482175
17,-20776.606786565622
18,-11711.073894427624
19,-30906.542744583683
20,-46013.93419180461
21,-5995.11336647463
22,-4426.417498310097
23,73648.83743948187
24,-14106.94913626113
25,-19081.625569311902
26,17533.731960252393
27,60123.61597464839
28,12371.785922119394
29,-20212.62158816913
30,17163.36468694685
31,11638.708980732365
32,-2671.475547426613
33,4706.3049182838295
34,-21748.555596161168
35,-6912.430986251449
36,23388.278732407838
37,-17156.02042582119
38,-10876.981988155516
39,54924.52720545139
40,12849.893228576519
41,-4543.202867767308
42,18966.898574121995
43,-33824.896520214155
44,14994.344051684719
45,-6237.27159367851
46,-2566.070792939514
47,-16230.242840310326
48,29143.555611966643
49,-26422.64523028466
50,-12059.508398238802
51,-34285.72917796788
52,-7229.683599883225
53,40380.381946348585
54,-47731.68233352783
55,8075.383830537554
56,2852.9490041597746
57,482.26928831636906
58,59132.78497966868
59,4119.04505338287
60,-8633.60492688627
61,16488.253489499213
